,price,unit,interval_start,interval_end
0,38.0,1600,38.0,0.0
1,34.58,400,34.58,38.0
2,31.47,800,31.47,34.58
3,28.64,800,28.64,31.47
4,26.06,1200,26.06,28.64
5,23.71,1200,23.71,26.06
6,21.58,1200,21.58,23.71
7,19.64,2400,19.64,21.58
8,17.87,2400,17.87,19.64
9,16.26,2400,16.26,17.87
10,14.8,3200,14.8,16.26
11,13.47,3200,13.47,14.8
12,12.26,4800,12.26,13.47
13,11.16,6000,11.16,12.26
14,10.16,6400,10.16,11.16
15,9.25,7200,9.25,10.16
16,8.42,8400,8.42,9.25
17,7.66,9600,7.66,8.42
18,6.97,12800,6.97,7.66
19,6.34,16000,6.34,6.97
20,5.77,16000,5.77,6.34
21,5.25,20000,5.25,5.77
22,4.78,24000,4.78,5.25
